Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Pharmaceuticals: Major,18.297 T INR,0.58%,+0.04%,424.36 K,103
Pharmaceuticals: Other,3.27 T INR,0.45%,−0.05%,807.497 K,7
Medical Specialties,204.808 B INR,0.14%,+1.87%,73.176 K,5
Pharmaceuticals: Generic,14.936 B INR,0.89%,+2.00%,38.242 K,2
Biotechnology,3.405 B INR,0.13%,+16.66%,113.131 K,1
