Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Miscellaneous,44.337 B INR,—,+3.66%,3.136 M,3
Investment Trusts/Mutual Funds,22.934 B INR,—,−0.69%,1.453 K,149
