Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-05-27 00:00:00,319334,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-06-25 00:00:00,337007,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE844O01030,ISIN Name: GUJARAT GAS-EQ2/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-09-03 00:00:00,486399,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE176B01034,ISIN Name: HAVELLS INDIA-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-05-06 00:00:00,913586,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-05-31 00:00:00,589904,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-06-18 00:00:00,104826,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-06-19 00:00:00,33082188,DEBIT On Market 1100001100021102,1211232024114.0,,2.0,3.0
2024-06-20 00:00:00,33082188,DEBIT On Market 1100001100021102,1211232024114.0,,2.0,1.0
2024-06-20 00:00:00,33082188,CREDIT On Market 1100001100021102,1211232024114.0,2.0,,3.0
2024-06-20 00:00:00,34574530,DEBIT On Market 1100001100021102,1211232024115.0,,1.0,2.0
2024-06-21 00:00:00,34574530,CREDIT On Market 1100001100021102,1211232024115.0,1.0,,3.0
2024-06-21 00:00:00,34574530,DEBIT On Market 1100001100021102,1211232024115.0,,1.0,2.0
2024-07-10 00:00:00,79208781,DEBIT On Market 1100001100021102,1211232024129.0,,1.0,1.0
2024-07-11 00:00:00,79208781,CREDIT On Market 1100001100021102,1211232024129.0,1.0,,2.0
2024-07-11 00:00:00,79208781,DEBIT On Market 1100001100021102,1211232024129.0,,1.0,1.0
2024-07-19 00:00:00,251505,CREDIT On Market 1208870000010189,,2.0,,3.0
2024-07-19 00:00:00,98241755,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,2.0
2024-07-22 00:00:00,98241755,CREDIT On Market 1100001100021102,1211232024135.0,1.0,,3.0
2024-07-22 00:00:00,98241755,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,2.0
2024-07-30 00:00:00,19059973,DEBIT On Market 1100001100021102,1211232024142.0,,1.0,1.0
2024-07-31 00:00:00,19059973,CREDIT On Market 1100001100021102,1211232024142.0,1.0,,2.0
2024-07-31 00:00:00,19059973,DEBIT On Market 1100001100021102,1211232024142.0,,1.0,1.0
2024-11-27 00:00:00,,Closing Balance,,,,1.0
ISIN: INE040A01034,ISIN Name: HDFC BANK-EQ1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-03-27 00:00:00,690862,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-04-05 00:00:00,135244,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-06-03 00:00:00,121494,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-06-05 00:00:00,770708,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-06-14 00:00:00,945668,CREDIT On Market 1208870000010189,,3.0,,8.0
2024-07-19 00:00:00,985380,CREDIT On Market 1208870000010189,,2.0,,10.0
2024-07-23 00:00:00,978117,CREDIT On Market 1208870000010189,,2.0,,12.0
2024-07-25 00:00:00,9152410,DEBIT On Market 1100001100021102,1211232024139.0,,6.0,6.0
2024-07-26 00:00:00,9152410,DEBIT On Market 1100001100021102,1211232024139.0,,6.0,0.0
2024-07-26 00:00:00,9152410,CREDIT On Market 1100001100021102,1211232024139.0,6.0,,6.0
2024-11-27 00:00:00,,Closing Balance,,,,6.0
ISIN: INE158A01026,ISIN Name: HERO MOTOCO (RS.2/-),,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-19 00:00:00,381163,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-20 00:00:00,34630832,DEBIT On Market 1100001100021102,1211232024115.0,,1.0,1.0
2024-06-21 00:00:00,34630832,DEBIT On Market 1100001100021102,1211232024115.0,,1.0,0.0
2024-06-21 00:00:00,34630832,CREDIT On Market 1100001100021102,1211232024115.0,1.0,,1.0
2024-06-27 00:00:00,50012559,DEBIT On Market 1100001100021102,1211232024120.0,,1.0,1.0
2024-06-27 00:00:00,50012559,CREDIT On Market 1100001100021102,1211232024120.0,1.0,,2.0
2024-07-18 00:00:00,94156097,DEBIT On Market 1100001100021102,1211232024134.0,,1.0,1.0
2024-07-19 00:00:00,94156097,DEBIT On Market 1100001100021102,1211232024134.0,,1.0,0.0
2024-07-19 00:00:00,94156097,CREDIT On Market 1100001100021102,1211232024134.0,1.0,,1.0
2024-08-01 00:00:00,676474,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-08-02 00:00:00,472947,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE066F01020,ISIN Name: HINDUSTAN AERO-EQ5/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-06 00:00:00,433698,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-06-07 00:00:00,418879,CREDIT On Market 1208870000010189,,2.0,,3.0
2024-06-18 00:00:00,489288,CREDIT On Market 1208870000010189,,2.0,,5.0
2024-07-18 00:00:00,95227294,DEBIT On Market 1100001100021102,1211232024134.0,,3.0,2.0
2024-07-19 00:00:00,95227294,CREDIT On Market 1100001100021102,1211232024134.0,3.0,,5.0
2024-07-19 00:00:00,95227294,DEBIT On Market 1100001100021102,1211232024134.0,,3.0,2.0
2024-07-19 00:00:00,98149781,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,1.0
2024-07-22 00:00:00,98149781,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,0.0
2024-07-22 00:00:00,98149781,CREDIT On Market 1100001100021102,1211232024135.0,1.0,,1.0
2024-07-23 00:00:00,978155,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-07-29 00:00:00,262184,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-08-02 00:00:00,27792576,DEBIT On Market 1100001100021102,1211232024145.0,,1.0,2.0
2024-08-05 00:00:00,27792576,DEBIT On Market 1100001100021102,1211232024145.0,,1.0,1.0
2024-08-05 00:00:00,27792576,CREDIT On Market 1100001100021102,1211232024145.0,1.0,,2.0
2024-09-05 00:00:00,216152,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE030A01027,ISIN Name: HINDUSTAN UNILEV RE1,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-23 00:00:00,248432,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-06-06 00:00:00,433615,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-07-23 00:00:00,978082,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-25 00:00:00,9141096,DEBIT On Market 1100001100021102,1211232024139.0,,1.0,2.0
2024-07-26 00:00:00,9141096,CREDIT On Market 1100001100021102,1211232024139.0,1.0,,3.0
2024-07-26 00:00:00,9141096,DEBIT On Market 1100001100021102,1211232024139.0,,1.0,2.0
2024-07-29 00:00:00,184655,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-31 00:00:00,22983475,DEBIT On Market 1100001100021102,1211232024143.0,,1.0,2.0
2024-08-01 00:00:00,22983475,CREDIT On Market 1100001100021102,1211232024143.0,1.0,,3.0
2024-08-01 00:00:00,22983475,DEBIT On Market 1100001100021102,1211232024143.0,,1.0,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE094A01015,ISIN Name: HPCL EQUITY,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-22 00:00:00,770955,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-03 00:00:00,508466,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-06-26 00:00:00,46714619,CREDIT On Market 1100001100021102,1211232024119.0,2.0,,7.0
2024-06-26 00:00:00,46714619,DEBIT On Market 1100001100021102,1211232024119.0,,5.0,2.0
2024-06-27 00:00:00,46714619,DEBIT On Market 1100001100021102,1211232024119.0,,3.0,-1.0
2024-06-27 00:00:00,46714619,CREDIT On Market 1100001100021102,1211232024119.0,3.0,,2.0
2024-06-28 00:00:00,302239,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-05 00:00:00,411225,CREDIT Corporate Action TRANSFER_ON_LISTING_APPROVAL,,2.0,,5.0
2024-07-10 00:00:00,446456,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-07-18 00:00:00,94183636,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,5.0
2024-07-19 00:00:00,94183636,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,0.0
2024-07-19 00:00:00,94183636,CREDIT On Market 1100001100021102,1211232024134.0,5.0,,5.0
2024-08-01 00:00:00,444559,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-11-27 00:00:00,,Closing Balance,,,,10.0
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-01 00:00:00,240822,CREDIT Corporate Action BONUS,,2.0,,2.0
2024-07-05 00:00:00,411225,DEBIT Corporate Action TRANSFER_ON_LISTING_APPROVAL,,,2.0,0.0
2024-11-27 00:00:00,,Closing Balance,,,,0.0
ISIN: INE090A01021,ISIN Name: ICICI BANK-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-08-01 00:00:00,977409,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE092T01019,ISIN Name: IDFC FIRST BANK-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-08-27 00:00:00,150654,CREDIT On Market 1208870000010189,,25.0,,25.0
2024-09-13 00:00:00,304401,CREDIT On Market 1208870000010189,,5.0,,30.0
2024-11-27 00:00:00,,Closing Balance,,,,30.0
ISIN: INE242A01010,ISIN Name: INDIAN OIL CORP EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-15 00:00:00,478661,CREDIT On Market 1208870000010189,,10.0,,10.0
2024-05-16 00:00:00,909388,CREDIT On Market 1208870000010189,,10.0,,20.0
2024-11-27 00:00:00,,Closing Balance,,,,20.0
ISIN: INE202E01016,ISIN Name: INDIAN RENEWABLE-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-06 00:00:00,433853,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-06-24 00:00:00,524522,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-07-05 00:00:00,985251,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-07-10 00:00:00,446486,CREDIT On Market 1208870000010189,,10.0,,25.0
2024-07-15 00:00:00,89047344,DEBIT On Market 1100001100021102,1211232024132.0,,5.0,20.0
2024-07-15 00:00:00,89029369,DEBIT On Market 1100001100021102,1211232024132.0,,10.0,10.0
2024-07-16 00:00:00,89029369,DEBIT On Market 1100001100021102,1211232024132.0,,10.0,0.0
2024-07-16 00:00:00,89029369,CREDIT On Market 1100001100021102,1211232024132.0,10.0,,10.0
2024-07-16 00:00:00,89047344,DEBIT On Market 1100001100021102,1211232024132.0,,5.0,5.0
2024-07-16 00:00:00,89047344,CREDIT On Market 1100001100021102,1211232024132.0,5.0,,10.0
2024-07-18 00:00:00,836188,CREDIT On Market 1208870000010189,,10.0,,20.0
2024-07-18 00:00:00,94149657,DEBIT On Market 1100001100021102,1211232024134.0,,10.0,10.0
2024-07-19 00:00:00,94149657,CREDIT On Market 1100001100021102,1211232024134.0,10.0,,20.0
2024-07-19 00:00:00,94149657,DEBIT On Market 1100001100021102,1211232024134.0,,10.0,10.0
2024-07-22 00:00:00,436270,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-07-25 00:00:00,922329,CREDIT On Market 1208870000010189,,5.0,,20.0
2024-07-30 00:00:00,503867,CREDIT On Market 1208870000010189,,10.0,,30.0
2024-08-01 00:00:00,26605335,DEBIT On Market 1100001100021102,1211232024144.0,,10.0,20.0
2024-08-02 00:00:00,26605335,CREDIT On Market 1100001100021102,1211232024144.0,10.0,,30.0
2024-08-02 00:00:00,26605335,DEBIT On Market 1100001100021102,1211232024144.0,,10.0,20.0
2024-11-27 00:00:00,,Closing Balance,,,,20.0
ISIN: INE121J01017,ISIN Name: INDUS TOWERS LTD-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-11 00:00:00,993969,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-06-18 00:00:00,27595681,DEBIT On Market 1100001100021102,1211232024113.0,,5.0,0.0
2024-06-19 00:00:00,27595681,DEBIT On Market 1100001100021102,1211232024113.0,,5.0,-5.0
2024-06-19 00:00:00,27595681,CREDIT On Market 1100001100021102,1211232024113.0,5.0,,0.0
2024-11-27 00:00:00,,Closing Balance,,,,0.0
ISIN: INE009A01021,ISIN Name: INFOSYS LTD-EQ 5/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-25 00:00:00,702017,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-14 00:00:00,918663,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-06-19 00:00:00,381037,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-07-22 00:00:00,436175,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-08-05 00:00:00,30216308,DEBIT On Market 1100001100021102,1211232024146.0,,5.0,5.0
2024-08-06 00:00:00,30216308,DEBIT On Market 1100001100021102,1211232024146.0,,5.0,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE066P01011,ISIN Name: INOX WIND- EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-09 00:00:00,157623,CREDIT On Market 1208870000010189,,25.0,,25.0
2024-07-10 00:00:00,79213191,DEBIT On Market 1100001100021102,1211232024129.0,,15.0,10.0
2024-07-11 00:00:00,79213191,CREDIT On Market 1100001100021102,1211232024129.0,15.0,,25.0
2024-07-11 00:00:00,79213191,DEBIT On Market 1100001100021102,1211232024129.0,,15.0,10.0
2024-07-16 00:00:00,235678,CREDIT On Market 1208870000010189,,10.0,,20.0
2024-07-19 00:00:00,784798,CREDIT On Market 1208870000010189,,5.0,,25.0
2024-07-19 00:00:00,98130305,DEBIT On Market 1100001100021102,1211232024135.0,,15.0,10.0
2024-07-22 00:00:00,98130305,DEBIT On Market 1100001100021102,1211232024135.0,,15.0,-5.0
2024-07-22 00:00:00,98130305,CREDIT On Market 1100001100021102,1211232024135.0,15.0,,10.0
2024-07-22 00:00:00,1159003,DEBIT On Market 1100001100021102,1211232024136.0,,5.0,5.0
2024-07-23 00:00:00,1159003,CREDIT On Market 1100001100021102,1211232024136.0,5.0,,10.0
2024-07-23 00:00:00,1159003,DEBIT On Market 1100001100021102,1211232024136.0,,5.0,5.0
2024-07-30 00:00:00,503578,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-08-14 00:00:00,336666,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-08-16 00:00:00,657700,CREDIT On Market 1208870000010189,,5.0,,20.0
2024-11-27 00:00:00,,Closing Balance,,,,20.0
ISIN: INE646L01027,ISIN Name: INTERGLOBE AVIA-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-15 00:00:00,478693,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-05-27 00:00:00,796847,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-06-11 00:00:00,951782,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-06-20 00:00:00,34722114,DEBIT On Market 1100001100021102,1211232024115.0,,2.0,3.0
2024-06-21 00:00:00,34722114,DEBIT On Market 1100001100021102,1211232024115.0,,2.0,1.0
2024-06-21 00:00:00,34722114,CREDIT On Market 1100001100021102,1211232024115.0,2.0,,3.0
2024-06-24 00:00:00,466251,CREDIT On Market 1208870000010189,,1.0,,4.0
2024-07-18 00:00:00,94149432,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,2.0
2024-07-19 00:00:00,94149432,CREDIT On Market 1100001100021102,1211232024134.0,2.0,,4.0
2024-07-19 00:00:00,94149432,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,2.0
2024-07-19 00:00:00,98183353,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,1.0
2024-07-22 00:00:00,98183353,CREDIT On Market 1100001100021102,1211232024135.0,1.0,,2.0
2024-07-22 00:00:00,98183353,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,1.0
2024-11-27 00:00:00,,Closing Balance,,,,1.0
ISIN: INE335Y01020,ISIN Name: IRCTCL-EQ2/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-07 00:00:00,419406,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-06-12 00:00:00,897776,CREDIT On Market 1208870000010189,,2.0,,7.0
2024-07-18 00:00:00,95486032,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,5.0
2024-07-19 00:00:00,95486032,CREDIT On Market 1100001100021102,1211232024134.0,2.0,,7.0
2024-07-19 00:00:00,95486032,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,5.0
2024-07-23 00:00:00,978330,CREDIT On Market 1208870000010189,,2.0,,7.0
2024-11-27 00:00:00,,Closing Balance,,,,7.0
ISIN: INE154A01025,ISIN Name: ITC LIMITED -EQ RE.1,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-19 00:00:00,381098,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-07-23 00:00:00,978220,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-07-24 00:00:00,948075,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-08-02 00:00:00,27758483,DEBIT On Market 1100001100021102,1211232024145.0,,5.0,10.0
2024-08-05 00:00:00,27758483,DEBIT On Market 1100001100021102,1211232024145.0,,5.0,5.0
2024-08-05 00:00:00,27758483,CREDIT On Market 1100001100021102,1211232024145.0,5.0,,10.0
2024-11-27 00:00:00,,Closing Balance,,,,10.0
ISIN: INE758E01017,ISIN Name: JIO FINANCIAL -EQ,,,,,
2024-03-27 00:00:00,240497,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-07-18 00:00:00,836573,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-07-18 00:00:00,94145660,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,5.0
2024-07-19 00:00:00,94145660,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,0.0
2024-07-19 00:00:00,94145660,CREDIT On Market 1100001100021102,1211232024134.0,5.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE121E01018,ISIN Name: JSW ENERGY LTD - EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-05 00:00:00,467934,CREDIT On Market 1208870000010189,,4.0,,4.0
2024-06-14 00:00:00,398751,CREDIT On Market 1208870000010189,,4.0,,8.0
2024-06-18 00:00:00,116817,CREDIT On Market 1208870000010189,,2.0,,10.0
2024-06-25 00:00:00,336936,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-07-02 00:00:00,206695,CREDIT On Market 1208870000010189,,5.0,,20.0
2024-07-10 00:00:00,79234714,DEBIT On Market 1100001100021102,1211232024129.0,,5.0,15.0
2024-07-11 00:00:00,79234714,DEBIT On Market 1100001100021102,1211232024129.0,,5.0,10.0
2024-07-11 00:00:00,79234714,CREDIT On Market 1100001100021102,1211232024129.0,5.0,,15.0
2024-07-18 00:00:00,94160000,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,10.0
2024-07-19 00:00:00,94160000,CREDIT On Market 1100001100021102,1211232024134.0,5.0,,15.0
2024-07-19 00:00:00,94160000,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,10.0
2024-07-23 00:00:00,4555747,DEBIT On Market 1100001100021102,1211232024137.0,,4.0,6.0
2024-07-23 00:00:00,4873975,DEBIT On Market 1100001100021102,1211232024137.0,,1.0,5.0
2024-07-24 00:00:00,4555747,DEBIT On Market 1100001100021102,1211232024137.0,,4.0,1.0
2024-07-24 00:00:00,4555747,CREDIT On Market 1100001100021102,1211232024137.0,4.0,,5.0
2024-07-24 00:00:00,4873975,DEBIT On Market 1100001100021102,1211232024137.0,,1.0,4.0
2024-07-24 00:00:00,4873975,CREDIT On Market 1100001100021102,1211232024137.0,1.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE880J01026,ISIN Name: JSW INFRASTRU-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-19 00:00:00,99595431,DEBIT On Market 1100001100021102,1211232024135.0,,3.0,-3.0
2024-07-19 00:00:00,296512,CREDIT On Market 1208870000010189,,5.0,,2.0
2024-07-22 00:00:00,99595431,CREDIT On Market 1100001100021102,1211232024135.0,3.0,,5.0
2024-07-22 00:00:00,99595431,DEBIT On Market 1100001100021102,1211232024135.0,,3.0,2.0
2024-07-23 00:00:00,978440,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-08-02 00:00:00,27766008,DEBIT On Market 1100001100021102,1211232024145.0,,3.0,2.0
2024-08-05 00:00:00,27766008,DEBIT On Market 1100001100021102,1211232024145.0,,3.0,-1.0
2024-08-05 00:00:00,27766008,CREDIT On Market 1100001100021102,1211232024145.0,3.0,,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE455I01029,ISIN Name: KAVERI SEED CO EQ2/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-24 00:00:00,948127,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE237A01028,ISIN Name: KOTAK MAHINDRA-EQ5/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-03 00:00:00,258196,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-06-26 00:00:00,970205,CREDIT On Market 1208870000010189,,2.0,,3.0
2024-07-25 00:00:00,9148842,DEBIT On Market 1100001100021102,1211232024139.0,,1.0,2.0
2024-07-26 00:00:00,9148842,CREDIT On Market 1100001100021102,1211232024139.0,1.0,,3.0
2024-07-26 00:00:00,9148842,DEBIT On Market 1100001100021102,1211232024139.0,,1.0,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE018A01030,ISIN Name: LARSEN & TOUBR-EQ2/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-03-27 00:00:00,654406,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-04-29 00:00:00,262894,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-05-15 00:00:00,371834,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-05-16 00:00:00,635253,CREDIT On Market 1208870000010189,,1.0,,4.0
2024-06-24 00:00:00,38321944,CREDIT On Market 1100001100021102,1211232024116.0,1.0,,4.0
2024-06-24 00:00:00,38321944,DEBIT On Market 1100001100021102,1211232024116.0,,1.0,3.0
2024-07-19 00:00:00,98157357,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,2.0
2024-07-22 00:00:00,98157357,CREDIT On Market 1100001100021102,1211232024135.0,1.0,,3.0
2024-07-22 00:00:00,98157357,DEBIT On Market 1100001100021102,1211232024135.0,,1.0,2.0
2024-07-24 00:00:00,947967,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-25 00:00:00,9162845,DEBIT On Market 1100001100021102,1211232024139.0,,2.0,1.0
2024-07-26 00:00:00,9162845,DEBIT On Market 1100001100021102,1211232024139.0,,2.0,-1.0
2024-07-26 00:00:00,9162845,CREDIT On Market 1100001100021102,1211232024139.0,2.0,,1.0
2024-07-30 00:00:00,503396,CREDIT On Market 1208870000010189,,2.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE970X01018,ISIN Name: LEMON TREE HOTELS-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-07 00:00:00,419933,CREDIT On Market 1208870000010189,,10.0,,10.0
2024-07-09 00:00:00,75386865,DEBIT On Market 1100001100021102,1211232024128.0,,5.0,5.0
2024-07-09 00:00:00,75407525,CREDIT On Market 1100001100021102,1211232024128.0,5.0,,10.0
2024-07-09 00:00:00,75407525,DEBIT On Market 1100001100021102,1211232024128.0,,5.0,5.0
2024-07-10 00:00:00,75386865,DEBIT On Market 1100001100021102,1211232024128.0,,5.0,0.0
2024-07-10 00:00:00,75386865,CREDIT On Market 1100001100021102,1211232024128.0,5.0,,5.0
2024-07-18 00:00:00,95411898,DEBIT On Market 1100001100021102,1211232024134.0,,3.0,2.0
2024-07-19 00:00:00,95411898,DEBIT On Market 1100001100021102,1211232024134.0,,3.0,-1.0
2024-07-19 00:00:00,95411898,CREDIT On Market 1100001100021102,1211232024134.0,3.0,,2.0
2024-08-14 00:00:00,738614,CREDIT On Market 1208870000010189,,8.0,,10.0
2024-08-30 00:00:00,971940,CREDIT On Market 1208870000010189,,10.0,,20.0
2024-11-27 00:00:00,,Closing Balance,,,,20.0
ISIN: INE101A01026,ISIN Name: MAH & MAH EQ RS 5/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-23 00:00:00,248485,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-05-27 00:00:00,435510,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-06-03 00:00:00,960344,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-06-07 00:00:00,419103,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-06-14 00:00:00,390402,CREDIT On Market 1208870000010189,,1.0,,6.0
2024-06-20 00:00:00,199506,CREDIT On Market 1208870000010189,,1.0,,7.0
2024-06-24 00:00:00,571750,CREDIT On Market 1208870000010189,,1.0,,8.0
2024-07-10 00:00:00,79168164,DEBIT On Market 1100001100021102,1211232024129.0,,3.0,5.0
2024-07-11 00:00:00,79168164,CREDIT On Market 1100001100021102,1211232024129.0,3.0,,8.0
2024-07-11 00:00:00,79168164,DEBIT On Market 1100001100021102,1211232024129.0,,3.0,5.0
2024-07-18 00:00:00,94152946,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,3.0
2024-07-19 00:00:00,94152946,CREDIT On Market 1100001100021102,1211232024134.0,2.0,,5.0
2024-07-19 00:00:00,94152946,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,3.0
2024-07-22 00:00:00,436227,CREDIT On Market 1208870000010189,,1.0,,4.0
2024-07-23 00:00:00,978189,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-07-25 00:00:00,9166373,DEBIT On Market 1100001100021102,1211232024139.0,,2.0,3.0
2024-07-26 00:00:00,9166373,CREDIT On Market 1100001100021102,1211232024139.0,2.0,,5.0
2024-07-26 00:00:00,9166373,DEBIT On Market 1100001100021102,1211232024139.0,,2.0,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE585B01010,ISIN Name: MARUTI SUZUKI IND-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-15 00:00:00,478677,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-04-26 00:00:00,452170,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-04-29 00:00:00,262991,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-06-04 00:00:00,99521512,DEBIT On Market 1100001100021102,1211232024104.0,,2.0,2.0
2024-06-04 00:00:00,99521512,CREDIT On Market 1100001100021102,1211232024104.0,1.0,,3.0
2024-06-05 00:00:00,99521512,CREDIT On Market 1100001100021102,1211232024104.0,1.0,,4.0
