Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
2024-08-30 00:00:00,76161250,CREDIT On Market 1100001100021102,1211232024163.0,5.0,,5.0
2024-08-30 00:00:00,76161250,DEBIT On Market 1100001100021102,1211232024163.0,,5.0,0.0
2024-11-27 00:00:00,,Closing Balance,,,,0.0
ISIN: INE885A01032,ISIN Name: AMARA RAJA EQ 1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-28 00:00:00,302257,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-07-05 00:00:00,760642,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-07-09 00:00:00,75481029,DEBIT On Market 1100001100021102,1211232024128.0,,1.0,1.0
2024-07-10 00:00:00,75481029,DEBIT On Market 1100001100021102,1211232024128.0,,1.0,0.0
2024-07-10 00:00:00,75481029,CREDIT On Market 1100001100021102,1211232024128.0,1.0,,1.0
2024-07-11 00:00:00,702393,CREDIT On Market 1208870000010189,,2.0,,3.0
2024-07-15 00:00:00,88613136,DEBIT On Market 1100001100021102,1211232024132.0,,2.0,1.0
2024-07-16 00:00:00,88613136,DEBIT On Market 1100001100021102,1211232024132.0,,2.0,-1.0
2024-07-16 00:00:00,88613136,CREDIT On Market 1100001100021102,1211232024132.0,2.0,,1.0
2024-11-27 00:00:00,,Closing Balance,,,,1.0
ISIN: INE079A01024,ISIN Name: AMBUJA CEMENTS EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-18 00:00:00,412927,CREDIT On Market 1208870000010189,,10.0,,10.0
2024-06-19 00:00:00,33090192,DEBIT On Market 1100001100021102,1211232024114.0,,5.0,5.0
2024-06-20 00:00:00,33090192,CREDIT On Market 1100001100021102,1211232024114.0,5.0,,10.0
2024-06-20 00:00:00,33090192,DEBIT On Market 1100001100021102,1211232024114.0,,5.0,5.0
2024-07-10 00:00:00,79177940,DEBIT On Market 1100001100021102,1211232024129.0,,3.0,2.0
2024-07-11 00:00:00,79177940,CREDIT On Market 1100001100021102,1211232024129.0,3.0,,2.0
2024-07-30 00:00:00,503668,CREDIT On Market 1208870000010189,,5.0,,7.0
2024-08-01 00:00:00,24837624,DEBIT On Market 1100001100021102,1211232024144.0,,2.0,5.0
2024-08-02 00:00:00,24837624,CREDIT On Market 1100001100021102,1211232024144.0,2.0,,7.0
2024-08-02 00:00:00,24837624,DEBIT On Market 1100001100021102,1211232024144.0,,2.0,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE208A01029,ISIN Name: ASHOK LEYLAND-RE.1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-03 00:00:00,119351,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-06-04 00:00:00,99508512,DEBIT On Market 1100001100021102,1211232024104.0,,3.0,2.0
2024-06-05 00:00:00,99508512,CREDIT On Market 1100001100021102,1211232024104.0,3.0,,5.0
2024-06-05 00:00:00,99508512,DEBIT On Market 1100001100021102,1211232024104.0,,3.0,2.0
2024-06-25 00:00:00,336971,CREDIT On Market 1208870000010189,,3.0,,5.0
