Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Steel,9.979 T INR,0.87%,+0.23%,4.185 M,74
Construction Materials,9.449 T INR,0.47%,+0.13%,591.938 K,43
Other Metals/Minerals,5.409 T INR,1.86%,+2.11%,1.025 M,23
Aluminum,2.019 T INR,5.40%,+0.57%,4.072 M,7
Forest Products,265.424 B INR,0.39%,+0.47%,177.74 K,12
