Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Engineering & Construction,10.655 T INR,0.52%,+1.35%,4.072 M,117
Oilfield Services/Equipment,113.089 B INR,0.22%,−0.07%,34.026 K,9
Contract Drilling,22.191 B INR,0.07%,−0.63%,15.665 K,2
Oil & Gas Pipelines,18.144 B INR,0.29%,−0.81%,53.128 K,1
Environmental Services,12.998 B INR,—,−1.11%,160.33 K,4
