Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Oil Refining/Marketing,28.282 T INR,1.41%,−0.31%,2.591 M,11
Coal,3.297 T INR,4.77%,−0.22%,1.466 M,3
Integrated Oil,2.457 T INR,6.90%,+0.07%,4.339 M,4
Oil & Gas Production,14.862 B INR,—,+6.49%,301.636 K,2
