Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Wireless Telecommunications,19.465 T INR,0.35%,+0.63%,7.789 M,4
Major Telecommunications,1.112 T INR,0.57%,−0.57%,1.257 M,6
Specialty Telecommunications,235.961 B INR,0.19%,−1.14%,3.703 M,7
