Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Information Technology Services,34.182 T INR,1.69%,−0.18%,487.766 K,75
Packaged Software,3.907 T INR,1.05%,−0.29%,426.084 K,47
Internet Software/Services,2.956 T INR,0.49%,−0.37%,196.222 K,22
Data Processing Services,286.502 B INR,0.45%,−0.62%,488.376 K,7
