Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Electric Utilities,17.286 T INR,0.83%,−1.13%,6.954 M,28
Gas Distributors,4.16 T INR,1.62%,−0.06%,3.335 M,7
Alternative Power Generation,3.681 T INR,2.84%,−0.74%,4.821 M,8
