Industry,Market cap,Div yield % (indicated),Change %,Volume,Stocks
Wholesale Distributors,4.734 T INR,0.19%,−0.81%,5.553 M,39
Electronics Distributors,259.449 B INR,1.87%,+0.44%,333.066 K,11
Food Distributors,55.888 B INR,0.30%,+5.12%,13.088 M,5
Medical Distributors,55.322 B INR,—,−0.45%,24.123 K,4
